Year,Team,Nation,MP,Won,Drawn,Lost,GF,GA,GD,Yellow,Red,Group_Finish,Group_Points,Tournament_Finish
2004,FC Porto,Portugal,13,7,5,1,20,12,8,31,0,Second,11,Winner
2004,Monaco,France,13,6,3,4,27,19,8,19,3,First,11,Runner-Up
2004,Deportivo,Spain,12,6,2,4,19,17,2,18,2,Second,10,Semifinal
2004,Real Madrid,Spain,10,6,3,1,18,11,7,14,0,First,14,Quarterfinal
2004,Chelsea,England,12,6,4,2,16,10,6,24,2,First,13,Semifinal
2004,Arsenal,England,10,5,2,3,16,11,5,8,0,First,10,Quarterfinal
2004,Man United,England,8,5,1,2,15,5,10,10,1,First,15,RO16
2004,Juventus,Italy,8,4,1,3,15,8,7,17,0,First,13,RO16
2004,AC Milan,Italy,10,5,2,3,12,9,3,14,2,First,10,Quarterfinal
2004,Lyon,France,10,5,2,3,11,11,0,14,1,First,10,Quarterfinal
2004,Stuttgart,Germany,8,4,1,3,9,7,2,8,0,Second,12,RO16
2004,Lokomotiv Moskva,Russia,8,3,2,3,9,9,0,16,2,Second,8,RO16
2004,Celta,Spain,8,2,3,3,9,11,-2,22,1,Second,9,RO16
2004,Marseille,France,6,1,1,4,9,11,-2,8,0,Third,4,Group Stage
2004,Dynamo Kyiv,Ukraine,6,2,1,3,8,8,0,7,0,Fourth,7,Group Stage
2004,Inter Milan,Italy,6,2,2,2,8,11,-3,9,0,Third,8,Group Stage
2004,Celtic,Scotland,6,2,1,3,8,7,1,11,0,Third,7,Group Stage
2004,PSV,Netherlands,6,3,1,2,8,7,1,13,1,Third,10,Group Stage
2004,Real Sociedad,Spain,8,2,3,3,8,10,-2,12,1,Second,9,RO16
2004,Bayern Munich,Germany,8,2,4,2,7,7,0,21,1,Second,9,RO16
2004,Lazio,Italy,6,1,2,3,6,10,-4,13,1,Fourth,5,Group Stage
2004,Sparta Praha,Czechia,8,2,3,3,6,9,-3,6,0,Second,8,RO16
2004,Galatasaray,Turkey,6,2,1,3,6,8,-2,14,2,Third,7,Group Stage
2004,Olympiacos,Greece,6,1,1,4,6,13,-7,14,1,Fourth,4,Group Stage
2004,Ajax,Netherlands,6,2,0,4,6,7,-1,16,1,Fourth,6,Group Stage
2004,Panathinaikos,Greece,6,1,1,4,5,13,-8,12,1,Third,4,Group Stage
2004,Besiktas,Turkey,6,2,1,3,5,7,-2,12,1,Third,7,Group Stage
2004,Club Brugge,Belgium,6,2,2,2,5,6,-1,10,2,Third,8,Group Stage
2004,Rangers,Scotland,6,1,1,4,4,10,-6,9,0,Fourth,4,Group Stage
2004,Anderlecht,Belgium,6,2,1,3,4,6,-2,14,1,Fourth,7,Group Stage
2004,Partizan,Serbia,6,0,3,3,3,8,-5,6,1,Fourth,3,Group Stage
2004,AEK Athens,Greece,6,0,2,4,1,11,-10,10,1,Fourth,2,Group Stage
2005,Liverpool,England,13,7,4,2,18,9,9,22,0,Second,10,Winner
2005,AC Milan,Italy,13,9,2,2,21,9,12,16,0,First,13,Runner-Up
2005,PSV,Netherlands,12,6,3,3,14,12,2,17,1,Second,10,Semifinal
2005,Chelsea,England,12,6,2,4,21,13,8,21,1,First,13,Semifinal
2005,Lyon,France,10,6,3,1,29,12,17,10,0,First,13,Quarterfinal
2005,Juventus,Italy,10,6,2,2,9,4,5,23,1,First,16,Quarterfinal
2005,Inter Milan,Italy,10,5,3,2,18,8,10,18,1,First,14,Quarterfinal
2005,Bayern Munich,Germany,10,5,1,4,20,13,7,16,0,Second,10,Quarterfinal
2005,Real Madrid,Spain,8,4,2,2,12,10,2,14,1,Second,11,RO16
2005,Barcelona,Spain,8,4,1,3,13,11,2,7,0,Second,10,RO16
2005,Werder Bremen,Germany,8,4,1,3,14,16,-2,18,1,Second,13,RO16
2005,Monaco,France,8,4,0,4,10,7,3,10,1,First,12,RO16
2005,Arsenal,England,8,3,4,1,13,9,4,12,2,First,10,RO16
2005,Man United,England,8,3,2,3,14,11,3,10,0,Second,11,RO16
2005,Bayer Leverkusen,Germany,8,3,2,3,15,13,2,24,1,First,11,RO16
2005,FC Porto,Portugal,8,2,3,3,6,10,-4,20,0,Second,8,RO16
2005,Olympiacos,Greece,6,3,1,2,5,5,0,17,1,Third,10,Group Stage
2005,Fenerbahce,Turkey,6,3,0,3,10,13,-3,13,2,Third,9,Group Stage
2005,Panathinaikos,Greece,6,2,3,1,11,8,3,13,0,Third,9,Group Stage
2005,CSKA Moskva,Russia,6,2,1,3,5,5,0,11,1,Third,7,Group Stage
2005,Valencia,Spain,6,2,1,3,6,10,-4,18,2,Third,7,Group Stage
2005,Dynamo Kyiv,Ukraine,6,3,1,2,9,8,1,10,0,Second,10,Group Stage
2005,Shakhtar Donetsk,Ukraine,6,2,0,4,5,9,-4,9,3,Third,6,Group Stage
2005,Paris,France,6,1,2,3,3,8,-5,11,1,Fourth,5,Group Stage
2005,Celtic,Scotland,6,1,2,3,4,10,-6,12,0,Fourth,5,Group Stage
2005,Maccabi Tel Aviv,Israel,6,1,1,4,4,12,-8,8,0,Fourth,4,Group Stage
2005,Ajax,Netherlands,6,1,1,4,6,10,-4,9,0,Third,4,Group Stage
2005,Deportivo,Spain,6,0,2,4,0,9,-9,12,0,Fourth,2,Group Stage
2005,Rosenborg,Norway,6,0,2,4,6,13,-7,4,0,Fourth,2,Group Stage
2005,Sparta Praha,Czechia,6,0,1,5,2,13,-11,6,1,Fourth,1,Group Stage
2005,Roma,Italy,6,0,1,5,4,14,-10,15,4,Fourth,1,Group Stage
2005,Anderlecht,Belgium,6,0,0,6,4,17,-13,8,0,Fourth,0,Group Stage
2006,Barcelona,Spain,13,9,4,0,24,5,19,22,0,First,16,Winner
